model,pred_label,models,rates,mean_squared_error,root_mean_squared_error,mean_absolute_error,spearman_correlation,pearson_correlation,concordance_correlation_coefficient
Ensemble (vl_seg),vl_seg,"RF, XGB","0.75, 0, 0, 0, 0.25, 0",1.1302400245775783,1.0631274733434266,0.852768463029947,0.3124109143020338,0.30083550637092615,0.47608704087649273
Ensemble (vl_seg),vl_seg,"RF, XGB","0.25, 0, 0, 0, 0.75, 0",1.1729029193349407,1.083006426266687,0.8650851154734044,0.2726674214927413,0.2745830043027414,0.4284975271433024
Ensemble (vl_seg),vl_seg,"RF, XGB","0.6, 0, 0, 0, 0.4, 0",1.1353621000447167,1.0655337160525316,0.8539809506816103,0.29874519969983465,0.2947193128165827,0.46005205604437344
Ensemble (vl_seg),vl_seg,"RF, XGB","0.7, 0, 0, 0, 0.3, 0",1.1312162649252064,1.0635865103155486,0.8527611586469963,0.30728230407621765,0.2992065052734534,0.4701085651019451
Ensemble (vl_seg),vl_seg,"RF, XGB","0.8, 0, 0, 0, 0.2, 0",1.1299949138674474,1.0630121889552573,0.8530609733736322,0.3173319747125067,0.3018801520544545,0.4817798107143963
Ensemble (ar_seg),ar_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666",1.340665066828205,1.157870919761009,0.9405065039380468,0.2039817169317647,0.24505247480309822,0.33884520680528785
Ensemble (ar_seg),ar_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.375, 0.125, 0.125, 0.125, 0.125, 0.125",1.334273039556469,1.1551073714406246,0.9383189723683818,0.1994674016128148,0.24208855679931313,0.3325932848939606
Ensemble (ar_seg),ar_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.125, 0.375, 0.125, 0.125, 0.125, 0.125",1.3516177302456054,1.1625909556871692,0.9434588892552056,0.20468132330249728,0.24506940855816034,0.33980990548004286
Ensemble (ar_seg),ar_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.125, 0.125, 0.375, 0.125, 0.125, 0.125",1.3499729136585779,1.1618833476982868,0.9433829234277168,0.2132103541556988,0.24537930126708773,0.35148126361660803
Ensemble (ar_seg),ar_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.125, 0.125, 0.125, 0.375, 0.125, 0.125",1.3609804015601594,1.1666106469427404,0.9498660504693225,0.16041278224651082,0.19649296671514435,0.27647537962475444
Ensemble (ar_seg),ar_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.125, 0.125, 0.125, 0.125, 0.375, 0.125",1.3169361848499614,1.147578400306472,0.9325027973254395,0.21248866372442493,0.252919514917354,0.3505000419083827
Ensemble (ar_seg),ar_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.125, 0.125, 0.125, 0.125, 0.125, 0.375",1.3520141602526063,1.1627614373776791,0.9421112702351214,0.20759391921162224,0.2457736808638756,0.3438141181551327
Ensemble (ar_seg),ar_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.3, 0.1, 0.1, 0.1, 0.3, 0.1",1.316150336393891,1.1472359549778288,0.931745880395922,0.21268617022813385,0.2551032791916326,0.35076869094354846
Ensemble (ar_seg),ar_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.5, 0.2, 0.2, 0.2, 0.2, 0.2",3.583004506441854,1.8928825918270404,1.5725715059825223,0.2026337558779708,0.24338152845505207,0.33698331663747466
Ensemble (ar_seg),ar_seg,"RF, Elastic, Lasso, Ridge, XGB, SVR","0.2, 0.2, 0.2, 0.2, 0.5, 0.2",3.588178339922112,1.8942487534434627,1.5769667109341297,0.21160238454006033,0.25271264330325444,0.34929344352584335
